# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.5028 0.015204 1.26641e-08 0.1221 -0.0171932 -1.72866e-05 -0.000111199 
0.5047 0.014914 1.41558e-08 0.120934 -0.0169972 0.000118842 5.69204e-06 
0.5066 0.0146312 1.57977e-08 0.119787 -0.016805 -3.05844e-05 0.000121911 
0.5085 0.0143555 1.76021e-08 0.118657 -0.0166165 -0.000120054 -5.64724e-05 
0.5104 0.0140866 1.95825e-08 0.117544 -0.0164316 8.23946e-05 -0.000113109 
0.5123 0.0138242 2.1753e-08 0.116448 -0.0162502 0.000101101 0.000107385 
0.5142 0.0135683 2.41285e-08 0.115369 -0.0160723 -0.00013051 8.4235e-05 
0.5161 0.0133185 2.6725e-08 0.114306 -0.0158977 -6.2882e-05 -0.0001509 
0.518 0.0130747 2.95594e-08 0.113258 -0.0157263 0.000167776 -3.75582e-05 
0.5199 0.0128368 3.26496e-08 0.112226 -0.0155581 8.90185e-06 0.000180472 
0.5218 0.0126045 3.60145e-08 0.11121 -0.0153929 -0.000188454 -2.23531e-05 
0.5237 0.0123777 3.96741e-08 0.110208 -0.0152307 5.54039e-05 -0.000191323 
0.5256 0.0121562 4.36496e-08 0.10922 -0.0150715 0.000188828 8.94062e-05 
0.5275 0.0119399 4.79633e-08 0.108247 -0.014915 -0.000123501 0.000180861 
0.5294 0.0117286 5.26385e-08 0.107288 -0.0147614 -0.000167454 -0.000156837 
0.5313 0.0115222 5.77002e-08 0.106343 -0.0146104 0.000188596 -0.000148767 
0.5332 0.0113205 6.31742e-08 0.10541 -0.0144621 0.000125084 0.00021801 
0.5351 0.0111234 6.90881e-08 0.104491 -0.0143163 -0.000244376 9.67896e-05 
0.537 0.0109308 7.54703e-08 0.103585 -0.014173 -6.43614e-05 -0.000267073 
0.5389 0.0107425 8.23513e-08 0.102692 -0.0140322 0.000285565 -2.83487e-05 
0.5408 0.0105584 8.97625e-08 0.10181 -0.0138937 -1.06428e-05 0.000299415 
0.5427 0.0103784 9.77371e-08 0.100941 -0.0137575 -0.00030828 -5.19679e-05 
0.5446 0.0102024 1.0631e-07 0.100084 -0.0136236 9.4958e-05 -0.000311918 
0.5465 0.0100303 1.15517e-07 0.0992382 -0.013492 0.000310183 0.000138936 
0.5484 0.00986189 1.25396e-07 0.098404 -0.0133624 -0.000183232 0.000303022 
0.5503 0.0096972 1.35988e-07 0.0975809 -0.013235 -0.000290468 -0.000227191 
0.5522 0.00953608 1.47332e-07 0.0967689 -0.0131097 0.000270189 -0.000272635 
0.5541 0.00937842 1.59473e-07 0.0959676 -0.0129863 0.000249709 0.000311639 
0.556 0.00922414 1.72456e-07 0.0951769 -0.012865 -0.000350999 0.000221936 
0.5579 0.00907316 1.86327e-07 0.0943966 -0.0127455 -0.000189619 -0.000387778 
0.5598 0.00892537 2.01135e-07 0.0936264 -0.0126279 0.000421538 -0.000153105 
0.5617 0.0087807 2.16932e-07 0.0928663 -0.0125122 0.000112776 0.0004519 
0.5636 0.00863906 2.33769e-07 0.0921159 -0.0123982 -0.000478542 6.90386e-05 
0.5655 0.00850039 2.51702e-07 0.0913753 -0.012286 -2.23202e-05 -0.000501202 
0.5674 0.00836459 2.70788e-07 0.090644 -0.0121755 0.000519674 2.69436e-05 
0.5693 0.0082316 2.91085e-07 0.0899221 -0.0120667 -7.83144e-05 0.000533809 
0.5712 0.00810133 3.12656e-07 0.0892093 -0.0119596 -0.000543508 -0.000131357 
0.5731 0.00797374 3.35564e-07 0.0885055 -0.011854 0.000185647 -0.000548725 
0.575 0.00784874 3.59875e-07 0.0878105 -0.01175 0.000549457 0.000240774 
0.5769 0.00772627 3.85657e-07 0.0871241 -0.0116476 -0.000296347 0.000545743 
0.5788 0.00760627 4.12981e-07 0.0864462 -0.0115466 -0.000537661 -0.000351996 
0.5807 0.00748868 4.4192e-07 0.0857767 -0.0114471 0.000407379 -0.000525322 
0.5826 0.00737343 4.7255e-07 0.0851154 -0.0113491 0.000508863 0.000462179 
0.5845 0.00726047 5.0495e-07 0.0844621 -0.0112525 -0.000516109 0.000488447 
0.5864 0.00714975 5.39199e-07 0.0838168 -0.0111573 -0.000464259 -0.000568913 
0.5883 0.0070412 5.75381e-07 0.0831793 -0.0110634 0.000620363 -0.000436498 
0.5902 0.00693477 6.13582e-07 0.0825495 -0.0109709 0.000405374 0.000670264 
0.5921 0.00683042 6.53892e-07 0.0819271 -0.0108796 -0.000718449 0.00037111 
0.594 0.0067281 6.96402e-07 0.0813122 -0.0107897 -0.000333932 -0.000764782 
0.5959 0.00662774 7.41205e-07 0.0807046 -0.010701 0.000809153 -0.000294068 
0.5978 0.00652932 7.884e-07 0.0801041 -0.0106135 0.000251748 0.000851483 
0.5997 0.00643277 8.38086e-07 0.0795107 -0.0105272 -0.000891714 0.0002072 
0.6016 0.00633807 8.90367e-07 0.0789242 -0.0104421 -0.000160646 -0.000929817 
0.6035 0.00624515 9.45349e-07 0.0783445 -0.0103582 0.000965783 -0.000112303 
0.6054 0.006154 1.00314e-06 0.0777716 -0.0102753 6.23818e-05 0.000999624 
0.6073 0.00606455 1.06385e-06 0.0772052 -0.0101936 -0.00103137 1.10832e-05 
0.6092 0.00597678 1.1276e-06 0.0766453 -0.010113 4.14008e-05 -0.00106108 
0.6111 0.00589063 1.19451e-06 0.0760918 -0.0100335 0.00108881 9.48885e-05 
0.613 0.0058061 1.26469e-06 0.0755446 -0.00995498 -0.000149209 0.00111464 
0.6149 0.0057231 1.33827e-06 0.0750036 -0.00987753 -0.00113867 -0.000204201 
0.6168 0.00564165 1.41538e-06 0.0744687 -0.00980106 0.000259716 -0.001161 
0.6187 0.00556167 1.49616e-06 0.0739397 -0.00972562 0.00118175 0.000315616 
0.6206 0.00548316 1.58073e-06 0.0734167 -0.0096511 -0.000371772 0.00120105 
0.6225 0.00540606 1.66923e-06 0.0728994 -0.00957761 -0.00121901 -0.000428068 
0.6244 0.00533037 1.7618e-06 0.072388 -0.00950496 0.000484396 -0.00123578 
0.6263 0.00525602 1.8586e-06 0.0718821 -0.00943335 0.00125151 0.000540659 
0.6282 0.00518302 1.95976e-06 0.0713818 -0.00936252 -0.000596769 0.00126634 
0.6301 0.0051113 2.06544e-06 0.0708869 -0.00929271 -0.00128043 -0.000652644 
0.632 0.00504087 2.1758e-06 0.0703974 -0.00922362 0.000708211 -0.00129392 
0.6339 0.00497168 2.29099e-06 0.0699132 -0.00915556 0.00130698 0.000763406 
0.6358 0.00490371 2.41117e-06 0.0694342 -0.00908816 -0.000818167 0.00131976 
0.6377 0.00483692 2.53652e-06 0.0689603 -0.00902178 -0.00133243 -0.000872441 
0.6396 0.00477131 2.6672e-06 0.0684916 -0.008956 0.000926176 -0.00134514 
0.6415 0.00470683 2.80338e-06 0.0680278 -0.00889125 0.00135805 0.000979326 
0.6434 0.00464348 2.94524e-06 0.0675689 -0.00882704 -0.00103185 0.00137133 
0.6453 0.00458121 3.09297e-06 0.0671148 -0.00876386 -0.00138513 -0.00108369 
0.6472 0.00452001 3.24674e-06 0.0666656 -0.00870117 0.00113483 -0.00139961 
0.6491 0.00445986 3.40675e-06 0.066221 -0.00863951 0.00141493 0.00118521 
0.651 0.00440074 3.57318e-06 0.0657811 -0.00857828 -0.00123479 0.00143125 
